Mã,Chỉ số,2020,2021,2022,2023,2024
DIG,Chỉ số thanh toán hiện thời,1.22,2.4,2.76,1.79,2.08
DIG,Chỉ số thanh toán nhanh,0.47,1.54,1.21,0.92,0.98
DIG,Chỉ số thanh toán tiền mặt,0.07,0.21,0.06,0.3,0.12
DIG,Đòn bẩy tài chính,2.47,2.2,1.89,2.13,2.3
DIG,Khả năng chi trả lãi vay,9.26,5.08,1.47,0.49,5.11
DIH,Biên EBIT (%),0.68,1.06,4.69,7.35,9.17
DIH,Biên lợi nhuận gộp (%),4.43,4.16,8.86,18.18,17.93
DIH,Biên lợi nhuận ròng (%),0.42,0.62,3.44,4.84,6.11
DIH,Chỉ số thanh toán hiện thời,1.87,1.15,1.17,2.06,1.65
DIH,Chỉ số thanh toán nhanh,1.14,0.26,0.23,0.4,0.31
DIH,Chỉ số thanh toán tiền mặt,0.13,0.02,0.02,0.03,0.01
DIH,Đòn bẩy tài chính,4.27,9.76,9.59,7.33,5.18
DIH,Khả năng chi trả lãi vay,4.86,2.09,13.15,7.06,6.93
DKC,Biên EBIT (%),-13.93,20.32,26.35,22.26,NaN
DKC,Biên lợi nhuận gộp (%),15.67,46.09,47.61,42.8,NaN
DKC,Biên lợi nhuận ròng (%),-8.3,20.68,21.5,30.73,NaN
DKC,Chỉ số thanh toán hiện thời,2.7,2.99,3.1,3.17,NaN
DKC,Chỉ số thanh toán nhanh,2.69,2.97,3.02,3.09,NaN
DKC,Chỉ số thanh toán tiền mặt,1.29,1.02,0.52,1.63,NaN
DKC,Đòn bẩy tài chính,1.26,1.28,1.32,1.31,NaN
DL1,Biên EBIT (%),0.13,3.27,34.79,38.2,21.74
DL1,Biên lợi nhuận gộp (%),2.28,5.95,44.71,49.03,35.16
DL1,Biên lợi nhuận ròng (%),18.78,45.1,23.94,25.09,6.05
DL1,Chỉ số thanh toán hiện thời,1.12,1.45,1.2,2.01,2.19
DL1,Chỉ số thanh toán nhanh,1.11,1.38,1.13,1.92,1.98
DL1,Chỉ số thanh toán tiền mặt,0.0,0.41,0.03,0.01,0.31
DL1,Đòn bẩy tài chính,1.2,1.75,2.21,1.74,1.87
DL1,Khả năng chi trả lãi vay,0.02,0.24,0.79,1.02,1.66
DLD,Biên EBIT (%),-17.72,-42.42,-3.49,-4.69,NaN
DLD,Biên lợi nhuận gộp (%),1.77,-16.87,14.05,15.44,NaN
DLD,Biên lợi nhuận ròng (%),-34.74,-83.67,-20.72,-19.1,NaN
DLD,Chỉ số thanh toán hiện thời,0.12,0.07,0.09,0.05,NaN
DLD,Chỉ số thanh toán nhanh,0.1,0.06,0.06,0.04,NaN
DLD,Chỉ số thanh toán tiền mặt,0.03,0.02,0.01,0.01,NaN
DLD,Đòn bẩy tài chính,2.88,3.88,5.12,6.99,NaN
DLD,Khả năng chi trả lãi vay,-0.96,-1.3,-0.2,-0.25,NaN
DLG,Biên EBIT (%),-8.77,9.75,-72.2,-39.47,-6.91
DLG,Biên lợi nhuận gộp (%),17.91,18.7,24.28,19.86,28.96
DLG,Biên lợi nhuận ròng (%),-45.7,0.76,-88.82,-51.57,24.24
DLG,Chỉ số thanh toán hiện thời,0.86,0.85,0.64,0.41,0.87
DLG,Chỉ số thanh toán nhanh,0.72,0.72,0.54,0.34,0.82
DLG,Chỉ số thanh toán tiền mặt,0.05,0.04,0.05,0.07,0.05
DLG,Đòn bẩy tài chính,3.28,3.05,5.06,9.58,5.74
DLG,Khả năng chi trả lãi vay,-0.41,0.38,-2.69,-1.25,-0.26
DLR,Biên EBIT (%),-3.85,1.15,22.8,24.52,16.9
DLR,Biên lợi nhuận gộp (%),11.02,51.38,47.04,46.43,46.85
DLR,Biên lợi nhuận ròng (%),-23.69,-47.47,-1.95,2.21,87.86
DLR,Chỉ số thanh toán hiện thời,0.4,0.36,0.37,0.35,0.43
DLR,Chỉ số thanh toán nhanh,0.13,0.08,0.1,0.06,0.12
DLR,Chỉ số thanh toán tiền mặt,0.04,0.04,0.03,0.03,0.06
DLR,Đòn bẩy tài chính,-6.02,-3.69,-3.45,-3.2,-9.14
DLR,Khả năng chi trả lãi vay,-0.23,0.04,1.47,2.25,0.45
DLT,Biên EBIT (%),1.43,1.09,2.07,1.32,NaN
DLT,Biên lợi nhuận gộp (%),11.82,14.41,12.27,11.49,NaN
DLT,Biên lợi nhuận ròng (%),0.52,0.62,0.36,0.36,NaN
DLT,Chỉ số thanh toán hiện thời,1.06,1.06,1.09,1.05,NaN
DLT,Chỉ số thanh toán nhanh,0.62,0.66,0.74,0.54,NaN
DLT,Chỉ số thanh toán tiền mặt,0.05,0.28,0.07,0.09,NaN
DLT,Đòn bẩy tài chính,8.33,9.62,6.73,8.34,NaN
DLT,Khả năng chi trả lãi vay,1.62,1.93,2.83,1.56,NaN
DM7,Biên EBIT (%),5.99,7.14,4.46,7.76,8.62
DM7,Biên lợi nhuận gộp (%),12.11,11.43,10.74,13.7,14.75
DM7,Biên lợi nhuận ròng (%),5.48,6.12,6.1,6.39,6.3
DM7,Chỉ số thanh toán hiện thời,1.21,1.27,1.33,1.57,1.53
DM7,Chỉ số thanh toán nhanh,0.75,0.49,0.71,1.06,1.13
DM7,Chỉ số thanh toán tiền mặt,0.38,0.06,0.2,0.07,0.36
DM7,Đòn bẩy tài chính,2.32,1.82,1.84,1.74,1.89
DMC,Biên EBIT (%),13.99,12.44,14.72,10.67,11.9
DMC,Biên lợi nhuận gộp (%),30.2,26.8,28.43,21.65,21.98
DMC,Biên lợi nhuận ròng (%),12.37,10.63,12.56,10.66,10.67
DMC,Chỉ số thanh toán hiện thời,8.41,5.56,4.23,5.09,7.08
DMC,Chỉ số thanh toán nhanh,6.7,4.19,3.15,3.98,4.8
DMC,Chỉ số thanh toán tiền mặt,0.73,0.33,0.13,0.35,0.61
DMC,Đòn bẩy tài chính,1.11,1.19,1.26,1.22,1.13
DMC,Khả năng chi trả lãi vay,542.48,NaN,NaN,NaN,NaN
DMN,Biên EBIT (%),3.8,3.56,3.37,4.01,3.28
DMN,Biên lợi nhuận gộp (%),4.96,4.35,3.75,4.62,9.37
DMN,Biên lợi nhuận ròng (%),1.58,1.67,1.63,1.0,0.44
DMN,Chỉ số thanh toán hiện thời,1.31,1.27,0.88,1.23,1.26
DMN,Chỉ số thanh toán nhanh,1.2,1.15,0.75,1.11,0.81
DMN,Chỉ số thanh toán tiền mặt,0.0,0.0,0.02,0.01,0.0
DMN,Đòn bẩy tài chính,2.47,2.8,2.64,4.11,3.73
DMN,Khả năng chi trả lãi vay,1.24,1.35,2.09,1.62,NaN
DMS,Biên EBIT (%),2.22,1.92,0.83,0.29,NaN
DMS,Biên lợi nhuận gộp (%),9.79,7.27,4.25,3.28,NaN
DMS,Biên lợi nhuận ròng (%),0.62,1.62,0.9,0.31,NaN
DMS,Chỉ số thanh toán hiện thời,2.53,2.01,1.62,2.02,NaN
DMS,Chỉ số thanh toán nhanh,1.73,1.51,1.37,1.46,NaN
DMS,Chỉ số thanh toán tiền mặt,0.61,0.04,0.04,0.28,NaN
DMS,Đòn bẩy tài chính,1.59,1.94,2.55,1.95,NaN
DMS,Khả năng chi trả lãi vay,11.98,11.58,12.06,4.47,NaN
DNA,Biên EBIT (%),7.69,7.09,7.71,7.15,7.87
DNA,Biên lợi nhuận gộp (%),18.79,18.07,18.25,18.24,19.61
DNA,Biên lợi nhuận ròng (%),6.94,5.76,5.55,5.44,5.99
DNA,Chỉ số thanh toán hiện thời,1.36,1.24,1.28,1.03,1.01
DNA,Chỉ số thanh toán nhanh,1.12,1.01,1.08,0.88,0.85
DNA,Chỉ số thanh toán tiền mặt,0.27,0.01,0.06,0.04,0.11
DNA,Đòn bẩy tài chính,1.86,1.87,1.81,1.83,1.83
DNA,Khả năng chi trả lãi vay,10.14,6.15,6.3,6.94,10.26
DNC,Biên EBIT (%),5.67,5.61,5.98,5.93,5.74
DNC,Biên lợi nhuận gộp (%),9.07,8.16,8.7,8.46,8.22
DNC,Biên lợi nhuận ròng (%),5.15,4.64,4.43,4.66,4.49
DNC,Chỉ số thanh toán hiện thời,1.81,2.21,2.27,1.64,1.65
DNC,Chỉ số thanh toán nhanh,1.47,1.88,1.81,1.43,1.38
DNC,Chỉ số thanh toán tiền mặt,0.8,0.86,0.35,0.27,0.3
DNC,Đòn bẩy tài chính,1.41,1.36,1.29,1.53,1.52
DNC,Khả năng chi trả lãi vay,24.84,39.31,49.46,63.3,104.97
DND,Biên EBIT (%),7.81,5.22,-5.69,2.57,-1.56
DND,Biên lợi nhuận gộp (%),15.06,12.9,4.82,15.21,14.03
DND,Biên lợi nhuận ròng (%),6.8,2.74,-17.47,4.92,-7.48
DND,Chỉ số thanh toán hiện thời,1.08,1.1,0.48,0.49,2.15
DND,Chỉ số thanh toán nhanh,0.83,0.94,0.39,0.35,1.62
DND,Chỉ số thanh toán tiền mặt,0.19,0.28,0.06,0.07,0.95
DND,Đòn bẩy tài chính,1.55,1.52,2.06,1.87,1.23
DND,Khả năng chi trả lãi vay,61.88,47.81,-7.01,1.77,-1.39
DNE,Biên EBIT (%),4.74,4.45,2.24,1.45,NaN
DNE,Biên lợi nhuận gộp (%),9.83,9.57,8.06,7.06,NaN
DNE,Biên lợi nhuận ròng (%),4.68,4.22,2.45,2.21,NaN
DNE,Chỉ số thanh toán hiện thời,1.04,1.43,1.18,1.37,NaN
DNE,Chỉ số thanh toán nhanh,1.01,1.36,1.08,1.29,NaN
DNE,Chỉ số thanh toán tiền mặt,0.3,0.34,0.21,0.16,NaN
DNE,Đòn bẩy tài chính,2.1,2.05,2.01,2.06,NaN
DNE,Khả năng chi trả lãi vay,NaN,NaN,141.4,5.56,NaN
DNH,Biên EBIT (%),46.72,58.99,60.54,53.91,48.71
DNH,Biên lợi nhuận gộp (%),50.07,61.96,63.82,57.67,52.4
DNH,Biên lợi nhuận ròng (%),39.16,55.48,54.66,47.59,43.75
DNH,Chỉ số thanh toán hiện thời,3.61,4.05,4.08,1.56,2.62
DNH,Chỉ số thanh toán nhanh,3.52,3.99,4.01,1.53,2.61
DNH,Chỉ số thanh toán tiền mặt,0.35,1.37,2.21,0.4,0.65
DNH,Đòn bẩy tài chính,1.44,1.38,1.33,1.52,1.42
DNH,Khả năng chi trả lãi vay,9.88,23.38,25.98,21.78,22.12
DNL,Biên EBIT (%),8.41,5.39,2.94,4.12,NaN
DNL,Biên lợi nhuận gộp (%),23.78,15.52,15.03,15.12,NaN
DNL,Biên lợi nhuận ròng (%),7.28,4.27,2.94,3.38,NaN
DNL,Chỉ số thanh toán hiện thời,2.21,2.35,2.87,3.43,NaN
DNL,Chỉ số thanh toán nhanh,2.01,2.12,2.55,3.02,NaN
DNL,Chỉ số thanh toán tiền mặt,0.54,0.44,0.34,0.68,NaN
DNL,Đòn bẩy tài chính,1.39,1.4,1.37,1.32,NaN
DNL,Khả năng chi trả lãi vay,24.39,34.75,25.04,16.22,NaN
DNM,Biên EBIT (%),8.57,10.31,-17.33,-12.33,NaN
DNM,Biên lợi nhuận gộp (%),21.72,18.15,-5.01,2.06,NaN
DNM,Biên lợi nhuận ròng (%),5.3,4.93,-31.52,-25.02,NaN
DNM,Chỉ số thanh toán hiện thời,1.26,1.27,0.95,0.8,NaN
DNM,Chỉ số thanh toán nhanh,0.52,0.68,0.35,0.26,NaN
DNM,Chỉ số thanh toán tiền mặt,0.13,0.15,0.06,0.01,NaN
DNM,Đòn bẩy tài chính,4.2,3.67,8.95,57.83,NaN
DNM,Khả năng chi trả lãi vay,4.23,2.42,-2.97,-2.23,NaN
DNN,Biên EBIT (%),27.69,25.85,31.76,29.17,16.61
DNN,Biên lợi nhuận gộp (%),47.45,42.79,47.4,42.87,29.93
DNN,Biên lợi nhuận ròng (%),26.11,25.98,29.42,26.16,14.7
DNN,Chỉ số thanh toán hiện thời,3.31,2.35,1.89,1.81,1.7
DNN,Chỉ số thanh toán nhanh,2.74,1.81,1.48,1.5,1.47
DNN,Chỉ số thanh toán tiền mặt,0.07,0.12,0.18,0.22,0.17
DNN,Đòn bẩy tài chính,1.79,1.9,2.09,2.06,2.01
DNN,Khả năng chi trả lãi vay,21.19,10.36,11.2,5.8,3.72
DNP,Biên EBIT (%),3.23,4.18,5.28,5.32,5.68
DNP,Biên lợi nhuận gộp (%),17.46,15.83,16.7,17.44,16.91
DNP,Biên lợi nhuận ròng (%),0.82,0.36,1.23,1.69,2.16
DNP,Chỉ số thanh toán hiện thời,1.22,1.3,1.23,1.36,1.49
DNP,Chỉ số thanh toán nhanh,0.95,0.93,0.96,1.1,1.2
DNP,Chỉ số thanh toán tiền mặt,0.08,0.12,0.15,0.16,0.38
DNP,Đòn bẩy tài chính,3.53,3.59,3.62,3.45,2.9
DNP,Khả năng chi trả lãi vay,0.34,0.5,0.66,0.61,0.92
DNT,Biên EBIT (%),2.03,-6.06,3.59,2.88,NaN
DNT,Biên lợi nhuận gộp (%),21.42,20.34,25.08,26.52,NaN
DNT,Biên lợi nhuận ròng (%),3.37,-3.26,4.75,4.2,NaN
DNT,Chỉ số thanh toán hiện thời,2.54,3.57,2.36,2.74,NaN
DNT,Chỉ số thanh toán nhanh,2.36,3.21,2.13,2.55,NaN
DNT,Chỉ số thanh toán tiền mặt,0.39,0.54,0.4,0.65,NaN
DNT,Đòn bẩy tài chính,1.33,1.17,1.37,1.31,NaN
DNT,Khả năng chi trả lãi vay,888.64,-635.12,169.76,NaN,NaN
DNW,Biên EBIT (%),28.75,28.41,25.09,26.27,26.56
DNW,Biên lợi nhuận gộp (%),40.13,39.49,36.17,37.44,38.38
DNW,Biên lợi nhuận ròng (%),14.5,35.19,31.11,27.75,26.96
DNW,Chỉ số thanh toán hiện thời,0.49,1.18,1.41,1.42,1.73
DNW,Chỉ số thanh toán nhanh,0.4,1.09,1.3,1.31,1.63
DNW,Chỉ số thanh toán tiền mặt,0.19,0.42,0.12,0.11,0.09
DNW,Đòn bẩy tài chính,2.38,1.84,1.61,1.54,1.44
DNW,Khả năng chi trả lãi vay,4.69,7.38,8.14,11.08,11.57
DOC,Biên EBIT (%),0.04,4.43,4.9,-0.46,NaN
DOC,Biên lợi nhuận gộp (%),3.19,10.01,10.12,4.67,NaN
DOC,Biên lợi nhuận ròng (%),0.72,4.38,4.82,2.0,NaN
DOC,Chỉ số thanh toán hiện thời,7.37,11.26,8.29,8.02,NaN
DOC,Chỉ số thanh toán nhanh,4.67,6.91,7.8,7.71,NaN
DOC,Chỉ số thanh toán tiền mặt,0.14,0.23,0.53,1.08,NaN
DOC,Đòn bẩy tài chính,1.15,1.1,1.14,1.14,NaN
DOC,Khả năng chi trả lãi vay,0.12,40.92,210.67,-2.21,NaN
DOP,Biên EBIT (%),15.02,11.12,13.08,14.95,NaN
DOP,Biên lợi nhuận gộp (%),76.75,75.52,64.72,70.37,NaN
DOP,Biên lợi nhuận ròng (%),11.21,9.91,9.59,14.36,NaN
DOP,Chỉ số thanh toán hiện thời,1.19,0.84,1.14,1.88,NaN
DOP,Chỉ số thanh toán nhanh,0.75,0.43,0.66,1.13,NaN
DOP,Chỉ số thanh toán tiền mặt,0.17,0.12,0.24,0.63,NaN
DOP,Đòn bẩy tài chính,1.3,1.33,1.29,1.18,NaN
DOP,Khả năng chi trả lãi vay,7.91,6.26,11.23,43.3,NaN
DP1,Biên EBIT (%),4.37,3.12,5.16,8.62,7.83
DP1,Biên lợi nhuận gộp (%),13.47,11.39,13.6,16.36,16.36
DP1,Biên lợi nhuận ròng (%),1.97,2.06,2.34,5.37,6.56
DP1,Chỉ số thanh toán hiện thời,1.09,1.12,1.13,1.25,1.33
DP1,Chỉ số thanh toán nhanh,0.56,0.77,0.7,0.81,0.6
DP1,Chỉ số thanh toán tiền mặt,0.02,0.02,0.03,0.04,0.01
DP1,Đòn bẩy tài chính,4.94,4.28,4.27,3.23,2.98
DP1,Khả năng chi trả lãi vay,3.12,3.1,5.39,10.46,12.77
DP2,Biên EBIT (%),-7.77,-3.66,-5.17,-3.89,-0.29
DP2,Biên lợi nhuận gộp (%),1.81,4.38,3.88,5.33,8.87
DP2,Biên lợi nhuận ròng (%),-14.69,-9.96,-12.62,-12.45,-2.61
DP2,Chỉ số thanh toán hiện thời,0.62,0.54,0.54,0.46,0.51
DP2,Chỉ số thanh toán nhanh,0.35,0.33,0.29,0.29,0.32
DP2,Chỉ số thanh toán tiền mặt,0.0,0.0,0.02,0.01,0.02
DP2,Đòn bẩy tài chính,3.45,3.63,4.4,5.22,5.45
DP2,Khả năng chi trả lãi vay,-1.23,-0.55,-0.7,-0.48,-0.12
DP3,Biên EBIT (%),33.69,28.98,26.35,33.41,32.74
DP3,Biên lợi nhuận gộp (%),69.17,68.77,69.38,68.7,66.12
DP3,Biên lợi nhuận ròng (%),28.82,24.39,22.43,30.57,29.02
DP3,Chỉ số thanh toán hiện thời,2.68,3.21,3.43,3.79,4.87
DP3,Chỉ số thanh toán nhanh,2.06,2.37,2.66,3.27,4.37
DP3,Chỉ số thanh toán tiền mặt,0.43,0.31,0.23,0.05,0.15
DP3,Đòn bẩy tài chính,1.27,1.22,1.22,1.22,1.17
DP3,Khả năng chi trả lãi vay,67.71,245.97,174.3,85.86,846.3
DPC,Biên EBIT (%),15.0,13.49,-64.25,-15.74,4.2
DPC,Biên lợi nhuận gộp (%),36.38,37.99,51.29,25.36,33.01
DPC,Biên lợi nhuận ròng (%),12.36,10.79,-72.51,-24.59,-5.61
DPC,Chỉ số thanh toán hiện thời,2.07,1.69,0.84,0.57,0.27
DPC,Chỉ số thanh toán nhanh,1.2,0.98,0.29,0.16,0.08
DPC,Chỉ số thanh toán tiền mặt,0.58,0.23,0.15,0.09,0.02
DPC,Đòn bẩy tài chính,1.29,1.42,2.44,2.83,2.78
DPC,Khả năng chi trả lãi vay,NaN,78.43,-7.06,-1.58,0.48
DPG,Biên EBIT (%),21.76,25.4,22.01,14.21,12.54
DPG,Biên lợi nhuận gộp (%),28.05,34.38,27.75,16.95,15.24
DPG,Biên lợi nhuận ròng (%),11.14,17.64,15.64,8.19,8.48
DPG,Chỉ số thanh toán hiện thời,0.93,1.08,1.48,1.31,1.4
DPG,Chỉ số thanh toán nhanh,0.69,0.85,0.96,0.88,0.88
DPG,Chỉ số thanh toán tiền mặt,0.37,0.43,0.53,0.5,0.41
DPG,Đòn bẩy tài chính,3.43,3.34,2.78,2.85,2.45
DPG,Khả năng chi trả lãi vay,2.39,3.89,4.03,2.7,3.97
DPH,Biên EBIT (%),8.47,7.9,9.99,12.91,NaN
DPH,Biên lợi nhuận gộp (%),22.74,22.02,23.92,27.37,NaN
DPH,Biên lợi nhuận ròng (%),9.6,9.35,11.53,13.84,NaN
DPH,Chỉ số thanh toán hiện thời,3.83,4.38,4.58,4.95,NaN
DPH,Chỉ số thanh toán nhanh,3.53,3.95,4.2,4.52,NaN
DPH,Chỉ số thanh toán tiền mặt,0.37,0.35,0.11,0.4,NaN
DPH,Đòn bẩy tài chính,1.36,1.28,1.27,1.23,NaN
DPH,Khả năng chi trả lãi vay,24.72,62.85,74.14,94.79,NaN
DPM,Biên EBIT (%),8.58,27.71,33.84,2.22,3.2
DPM,Biên lợi nhuận gộp (%),22.29,37.43,42.08,12.17,14.06
DPM,Biên lợi nhuận ròng (%),9.04,24.8,29.98,3.9,4.52
DPM,Chỉ số thanh toán hiện thời,3.12,4.42,4.53,6.44,2.61
DPM,Chỉ số thanh toán nhanh,2.25,3.01,3.15,4.9,2.19
DPM,Chỉ số thanh toán tiền mặt,1.0,1.17,0.7,0.84,0.2
DPM,Đòn bẩy tài chính,1.37,1.3,1.26,1.15,1.47
DPM,Khả năng chi trả lãi vay,7.53,51.15,97.31,5.94,9.02
DPP,Biên EBIT (%),2.3,2.43,2.72,3.3,NaN
DPP,Biên lợi nhuận gộp (%),6.43,6.74,7.76,8.45,NaN
DPP,Biên lợi nhuận ròng (%),1.94,2.05,1.9,2.57,NaN
DPP,Chỉ số thanh toán hiện thời,1.71,1.64,1.47,1.91,NaN
DPP,Chỉ số thanh toán nhanh,0.56,0.52,0.47,0.8,NaN
DPP,Chỉ số thanh toán tiền mặt,0.03,0.02,0.01,0.02,NaN
DPP,Đòn bẩy tài chính,1.87,2.02,2.42,1.81,NaN
DPP,Khả năng chi trả lãi vay,15.97,19.28,17.08,15.06,NaN
DPR,Biên EBIT (%),18.38,25.62,20.28,15.19,21.01
DPR,Biên lợi nhuận gộp (%),28.12,35.36,30.36,26.36,31.7
DPR,Biên lợi nhuận ròng (%),18.61,38.84,24.05,24.41,28.11
DPR,Chỉ số thanh toán hiện thời,2.21,3.48,6.3,8.39,8.58
DPR,Chỉ số thanh toán nhanh,1.81,2.89,5.35,7.24,7.65
DPR,Chỉ số thanh toán tiền mặt,0.66,1.27,1.04,1.34,1.27
DPR,Đòn bẩy tài chính,1.62,1.47,1.39,1.39,1.38
DPR,Khả năng chi trả lãi vay,14.61,62.53,256.61,NaN,NaN
DQC,Biên EBIT (%),-0.68,-0.46,2.8,-3.24,-12.35
DQC,Biên lợi nhuận gộp (%),24.7,30.33,32.43,32.49,23.21
DQC,Biên lợi nhuận ròng (%),1.94,3.1,1.5,-3.89,-12.41
DQC,Chỉ số thanh toán hiện thời,2.15,2.21,1.95,1.87,1.73
DQC,Chỉ số thanh toán nhanh,1.33,1.18,0.97,1.15,1.08
DQC,Chỉ số thanh toán tiền mặt,0.26,0.14,0.04,0.04,0.08
DQC,Đòn bẩy tài chính,1.53,1.49,1.59,1.6,1.68
DQC,Khả năng chi trả lãi vay,-1.37,-0.83,2.85,-1.42,-17.26
DRC,Biên EBIT (%),10.2,8.65,8.48,6.87,6.14
DRC,Biên lợi nhuận gộp (%),16.44,17.06,16.55,14.43,15.61
DRC,Biên lợi nhuận ròng (%),7.03,6.64,6.27,5.48,4.96
DRC,Chỉ số thanh toán hiện thời,1.77,1.55,1.63,1.52,1.31
DRC,Chỉ số thanh toán nhanh,0.63,0.45,0.41,0.6,0.45
DRC,Chỉ số thanh toán tiền mặt,0.25,0.07,0.1,0.21,0.1
DRC,Đòn bẩy tài chính,1.44,1.77,1.79,1.83,2.19
DRC,Khả năng chi trả lãi vay,18.42,41.04,22.13,14.64,13.43
DRG,Biên EBIT (%),4.37,12.11,12.82,7.72,15.69
DRG,Biên lợi nhuận gộp (%),13.11,21.12,22.29,18.53,24.77
DRG,Biên lợi nhuận ròng (%),3.84,9.78,6.37,5.37,10.45
DRG,Chỉ số thanh toán hiện thời,0.49,0.68,0.65,0.58,0.82
DRG,Chỉ số thanh toán nhanh,0.26,0.37,0.37,0.31,0.45
DRG,Chỉ số thanh toán tiền mặt,0.12,0.24,0.27,0.2,0.36
DRG,Đòn bẩy tài chính,1.61,1.55,1.51,1.46,1.4
DRG,Khả năng chi trả lãi vay,0.7,3.3,4.4,2.84,6.18
DRH,Biên EBIT (%),-14.92,34.49,50.87,-254.86,-845.29
DRH,Biên lợi nhuận gộp (%),27.3,49.48,88.3,21.24,-108.75
DRH,Biên lợi nhuận ròng (%),65.37,17.67,1.15,-1179.85,-7418.06
DRH,Chỉ số thanh toán hiện thời,1.1,0.94,1.12,1.15,1.09
DRH,Chỉ số thanh toán nhanh,0.55,0.44,0.63,0.66,0.6
DRH,Chỉ số thanh toán tiền mặt,0.03,0.03,0.07,0.04,0.01
DRH,Đòn bẩy tài chính,2.94,3.17,2.38,2.62,2.97
DRH,Khả năng chi trả lãi vay,-0.57,0.52,0.39,-0.21,-0.18
DRI,Biên EBIT (%),17.08,30.19,29.33,22.12,26.53
DRI,Biên lợi nhuận gộp (%),28.61,39.35,40.93,35.92,40.3
DRI,Biên lợi nhuận ròng (%),5.5,14.36,16.18,16.61,23.47
DRI,Chỉ số thanh toán hiện thời,0.64,1.12,1.51,1.71,1.61
DRI,Chỉ số thanh toán nhanh,0.35,0.61,0.82,1.03,0.71
DRI,Chỉ số thanh toán tiền mặt,0.14,0.47,0.61,0.57,0.59
DRI,Đòn bẩy tài chính,1.57,1.44,1.34,1.2,1.23
DRI,Khả năng chi trả lãi vay,2.65,8.65,14.51,16.72,35.58
DRL,Biên EBIT (%),62.6,62.44,64.66,63.81,57.51
DRL,Biên lợi nhuận gộp (%),68.92,68.45,70.2,70.15,65.05
DRL,Biên lợi nhuận ròng (%),60.98,58.83,54.64,55.04,48.88
DRL,Chỉ số thanh toán hiện thời,9.5,7.69,5.33,5.64,6.38
DRL,Chỉ số thanh toán nhanh,9.4,7.62,5.27,5.58,6.3
DRL,Chỉ số thanh toán tiền mặt,6.02,0.91,0.65,0.13,0.31
DRL,Đòn bẩy tài chính,1.08,1.1,1.15,1.15,1.12
DS3,Biên EBIT (%),15.59,12.74,-912.93,-13.98,22.11
DS3,Biên lợi nhuận gộp (%),31.35,35.6,-32.16,-0.22,29.66
DS3,Biên lợi nhuận ròng (%),12.19,18.1,-974.98,9.54,19.1
DS3,Chỉ số thanh toán hiện thời,2.05,2.81,1.91,1.16,2.34
DS3,Chỉ số thanh toán nhanh,1.97,2.58,1.37,1.06,1.95
DS3,Chỉ số thanh toán tiền mặt,0.11,0.2,0.12,0.15,0.25
DS3,Đòn bẩy tài chính,1.43,1.32,1.32,1.65,1.7
DS3,Khả năng chi trả lãi vay,17.3,8.3,-162.8,-3.61,6.75
DSC,Biên EBIT (%),3.19,64.23,50.38,56.72,57.67
DSC,Biên lợi nhuận gộp (%),54.02,85.8,69.63,65.48,67.11
DSC,Biên lợi nhuận ròng (%),8.55,44.58,20.05,27.35,35.15
DSC,Chỉ số thanh toán hiện thời,30.56,2.33,1.76,2.16,1.7
DSC,Chỉ số thanh toán tiền mặt,26.24,0.01,0.0,0.03,0.14
DSC,Đòn bẩy tài chính,1.02,1.75,2.26,1.85,2.41
DSC,Khả năng chi trả lãi vay,28.25,7.14,1.99,2.47,4.03
DSD,Biên EBIT (%),-42.25,-112.56,29.4,22.65,18.22
DSD,Biên lợi nhuận gộp (%),-20.13,-65.03,40.72,38.83,33.69
DSD,Biên lợi nhuận ròng (%),-80.69,-416.94,12.44,5.88,6.72
DSD,Chỉ số thanh toán hiện thời,0.14,0.11,0.18,0.26,1.0
DSD,Chỉ số thanh toán nhanh,0.08,0.07,0.15,0.22,0.85
DSD,Chỉ số thanh toán tiền mặt,0.01,0.02,0.01,0.02,0.47
DSD,Đòn bẩy tài chính,1.99,2.56,2.44,1.74,1.25
DSD,Khả năng chi trả lãi vay,-1.01,-0.75,1.73,1.44,1.74
DSE,Biên EBIT (%),NaN,NaN,NaN,40.05,29.23
DSE,Biên lợi nhuận gộp (%),NaN,NaN,NaN,53.25,48.05
DSE,Biên lợi nhuận ròng (%),NaN,NaN,NaN,32.05,22.51
DSE,Chỉ số thanh toán hiện thời,NaN,NaN,NaN,1.6,1.24
DSE,Chỉ số thanh toán tiền mặt,NaN,NaN,NaN,0.12,0.17
DSE,Đòn bẩy tài chính,NaN,NaN,NaN,2.25,2.64
DSE,Khả năng chi trả lãi vay,NaN,NaN,NaN,12.95,8.42
DSG,Biên EBIT (%),-21.14,-50.18,-6.13,-21.67,-24.7
DSG,Biên lợi nhuận gộp (%),-0.64,-27.49,14.22,3.59,3.63
DSG,Biên lợi nhuận ròng (%),-37.5,-69.42,-21.14,-41.1,-40.47
DSG,Chỉ số thanh toán hiện thời,0.69,0.49,0.47,0.38,0.34
DSG,Chỉ số thanh toán nhanh,0.16,0.15,0.22,0.19,0.15
DSG,Chỉ số thanh toán tiền mặt,0.02,0.03,0.08,0.04,0.03
DSG,Đòn bẩy tài chính,2.22,3.23,3.93,7.94,-28.54
DSG,Khả năng chi trả lãi vay,-5.14,-16.33,-2.33,-5.88,-9.08
DSN,Biên EBIT (%),39.67,-49.29,52.7,48.12,45.3
DSN,Biên lợi nhuận gộp (%),60.59,-6.27,65.37,62.53,60.66
